                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.5843,                 1.5629,                 1.5789,                0.76639,                0.64257,                0.71854,                0.46375,                 1.3112,                 1.3674,                 1.4355,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6082,                 1.5256,                 1.5511,                 0.8564,                0.57028,                0.70104,                0.38659,                 1.4468,                 1.4866,                 1.4823,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6094,                 1.6041,                  1.623,                0.76447,                0.64659,                0.71509,                0.46724,                 1.3036,                 1.3423,                 1.4285,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6487,                 1.5067,                 1.6078,                0.76687,                0.60768,                0.69824,                0.41607,                 1.4025,                 1.4155,                 1.4499,               0.000911,               0.000911,               0.000911
                     57,                 1.5637,                 1.6206,                 1.6008,                   0.77,                0.59036,                0.67916,                0.45136,                 1.3267,                 1.4362,                 1.4385,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6227,                 1.5157,                 1.5816,                0.74021,                0.56069,                0.65552,                0.44964,                 1.2636,                  1.402,                  1.429,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6211,                 1.6107,                 1.6132,                0.84054,                0.57157,                 0.6996,                0.43244,                 1.3459,                 1.3465,                 1.4338,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5641,                 1.5403,                 1.5845,                0.78329,                0.65322,                0.72253,                0.49339,                 1.2361,                 1.3454,                 1.3885,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5238,                 1.5221,                 1.6155,                0.72405,                0.68675,                0.73617,                0.48107,                 1.2792,                 1.2721,                 1.3989,               0.000812,               0.000812,               0.000812
                     62,                 1.5962,                 1.5729,                 1.6154,                0.80935,                0.66667,                0.76212,                 0.5146,                 1.2493,                 1.2263,                 1.3941,              0.0007922,              0.0007922,              0.0007922
